,Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Bandwidth_GB_Year,TimelyResponse,TimelyFixes,TimelyReplacements,Reliability,Options,RespectfulResponse,CourteousExchange,ActiveListening,Contract,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Area_Rural,Area_Suburban,Area_Urban,Marital_Divorced,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Female,Gender_Male,Gender_Nonbinary,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Bank Transfer(automatic),PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check,Churn
4872,-0.5148679485036947,-0.9723379092716081,-0.8251293160474592,-0.5575531695581601,-1.2329724366497499,-0.3357848658144715,0.005867974104602262,-0.6258635316811727,-0.9772388903294181,-0.2365089021383282,-1.0982663033080966,0.49067915569344955,0.4783542977305066,-0.4737697057245398,-0.48500389479862627,1.4706742426431563,-0.48116458471979834,0.47693122604458105,-0.4818284474094517,2,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
6672,1.2535661314942466,-0.04084592357288879,0.18946898572534393,0.5785569930910395,1.5673571901062386,-0.0052879506427475865,0.005867974104602262,-0.6258635316811727,1.3075649080440188,1.1067055392071998,1.3199835703284464,-0.47294840851206826,0.4783542977305066,0.4990633655784165,-2.4347682959991337,1.4706742426431563,-1.4487185455478664,-2.4400793308030098,-0.4818284474094517,2,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
3072,-0.48347931758765883,-0.04084592357288879,1.7355235408077105,-0.9959572362844681,-1.437607357376961,0.3252089645289763,-1.0058516991026796,-0.6258635316811727,-0.8820345294282474,-0.6442362874034037,-1.131758576826534,0.49067915569344955,-0.48821328709573447,0.4990633655784165,-0.48500389479862627,-1.45681744863776,-1.4487185455478664,-1.4677424785204796,-0.4818284474094517,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
5804,-0.3372762022833858,0.4249000692764709,0.14115478087901998,-0.8082923339612066,0.6075573224978307,-0.6662817809861953,-1.0058516991026796,-0.6258635316811727,1.3318034789270194,-0.5278182677509756,1.201392590787074,-1.436575972717586,-1.4547808719219755,-0.4737697057245398,-0.48500389479862627,1.4706742426431563,0.48638937610826977,-1.4677424785204796,-0.4818284474094517,2,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
7108,2.118936134828401,-0.5065919164222484,-1.5981565935886426,0.841415948233087,2.265700777783199,0.986202794872424,-1.0058516991026796,-0.6258635316811727,1.399135657904844,0.6944067596395954,1.373169981038807,-0.47294840851206826,-0.48821328709573447,-0.4737697057245398,0.4898783058016274,-0.48098688487745467,0.48638937610826977,0.47693122604458105,0.4903839162092966,2,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
6518,-0.6630111999352283,-0.5065919164222484,-1.115014545125403,-1.1647814245867307,-0.2961947411031151,-0.3357848658144715,-1.0058516991026796,0.9466579047036832,0.4841622259531253,0.5200929510135721,0.4858109446500523,0.49067915569344955,0.4783542977305066,-0.4737697057245398,-0.48500389479862627,-1.45681744863776,0.48638937610826977,0.47693122604458105,0.4903839162092966,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
5202,-0.13626424138400378,-0.04084592357288879,-0.6318724966621634,0.7328552348676634,1.8908793452958133,-0.9967786961579193,-1.0058516991026796,-0.6258635316811727,1.0291902671674302,0.1712720450569352,0.9186895461339889,-0.47294840851206826,0.4783542977305066,1.4718964368813727,0.4898783058016274,-1.45681744863776,0.48638937610826977,-0.4954056262379492,0.4903839162092966,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
6210,-0.6459657182457254,-0.04084592357288879,-0.7768151112011352,1.4431605795433413,0.6942076018376282,0.986202794872424,-1.0058516991026796,2.519179341088539,0.594548681272924,-1.4012200604053366,0.37734568951044173,-0.47294840851206826,0.4783542977305066,0.4990633655784165,-0.48500389479862627,0.4948436788828508,0.48638937610826977,-0.4954056262379492,0.4903839162092966,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
6259,-0.592404103018141,-0.5065919164222484,-0.05210203850627586,-0.841238050230948,0.027962186356966307,-0.3357848658144715,-1.0058516991026796,0.9466579047036832,0.6088964508842467,0.46146126769479134,0.5420593712578521,-0.47294840851206826,-1.4547808719219755,-0.4737697057245398,-1.45988609539888,-0.48098688487745467,-0.48116458471979834,0.47693122604458105,1.462596279828045,2,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
3982,-0.2980577362823344,-0.5065919164222484,-0.05210203850627586,-0.8607830568668712,0.43349732213938635,0.3252089645289763,-1.0058516991026796,-0.6258635316811727,-0.7707702952780445,0.22921673840157164,-0.8514405922964304,-0.47294840851206826,-1.4547808719219755,-1.446602777027496,-0.48500389479862627,1.4706742426431563,-0.48116458471979834,-0.4954056262379492,0.4903839162092966,2,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
247,-0.3165583200672827,-0.04084592357288879,0.4793542148032877,-0.6149402510409954,-0.7399742875410329,0.3252089645289763,0.005867974104602262,-0.6258635316811727,-0.8240744101502476,-0.8180301959896717,-0.9201978154971339,1.4543067198989672,0.4783542977305066,0.4990633655784165,-1.45988609539888,1.4706742426431563,-1.4487185455478664,0.47693122604458105,-0.4818284474094517,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
3426,-0.5737649380812454,1.3563920549751902,-1.5981565935886426,0.055616889480006794,1.4283188763715193,-1.9882694416730908,0.005867974104602262,0.9466579047036832,-1.1729407584093725,1.630222173639893,-1.0160836480059143,-0.47294840851206826,-0.48821328709573447,-0.4737697057245398,0.4898783058016274,0.4948436788828508,0.48638937610826977,-1.4677424785204796,-0.4818284474094517,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
3527,-0.458326838509246,-0.9723379092716081,-1.115014545125403,-0.5316986089420079,0.29034256567639327,2.3081904555593193,1.0175876473118841,-0.6258635316811727,-1.1400866805218224,1.3972207909853283,-1.0735027454334412,0.49067915569344955,-0.48821328709573447,0.4990633655784165,-0.48500389479862627,0.4948436788828508,1.453943336936338,-0.4954056262379492,1.462596279828045,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
8861,-0.5752200401766908,-0.04084592357288879,0.43104000995696373,-0.723021151763925,0.3762838087585051,-0.0052879506427475865,-1.0058516991026796,-0.6258635316811727,0.8893972755542575,-0.7608965001314624,0.934108639702936,-0.47294840851206826,-1.4547808719219755,-0.4737697057245398,0.4898783058016274,-1.45681744863776,-0.48116458471979834,0.47693122604458105,1.462596279828045,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
8734,-0.674859888426712,-0.04084592357288879,-0.9217577257401072,-0.042993651584536156,0.6087233679073906,0.986202794872424,0.005867974104602262,0.9466579047036832,0.9457918235307359,-0.4689327474586969,0.9202355521223375,-0.47294840851206826,1.4449218825567476,2.444729508184329,0.4898783058016274,-0.48098688487745467,0.48638937610826977,0.47693122604458105,0.4903839162092966,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
7705,-0.47710458459808863,0.4249000692764709,-0.6318724966621634,-0.3272934584377263,0.6762935151564655,0.6557058797007002,0.005867974104602262,0.9466579047036832,1.2196365054109504,-0.0038871105542223226,1.1782846898620627,1.4543067198989672,0.4783542977305066,2.444729508184329,-0.48500389479862627,-0.48098688487745467,-0.48116458471979834,-0.4954056262379492,-0.4818284474094517,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
9501,-0.5355858307197978,-0.9723379092716081,0.6726110341885836,-0.08319542585728253,-1.3256048313731168,0.6557058797007002,-1.0058516991026796,0.9466579047036832,1.169332706277067,0.7530943336681376,1.0785617603773028,-0.47294840851206826,-0.48821328709573447,-1.446602777027496,0.4898783058016274,-0.48098688487745467,0.48638937610826977,1.4492680783271112,0.4903839162092966,2,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
4382,-0.5487510401547798,-0.5065919164222484,-1.066700340279079,-0.3641120748321351,0.056286672688896415,0.3252089645289763,-1.0058516991026796,-0.6258635316811727,-0.612739850610762,-0.3526055502096308,-0.7528567738405617,-0.47294840851206826,-0.48821328709573447,0.4990633655784165,-0.48500389479862627,1.4706742426431563,-1.4487185455478664,-1.4677424785204796,-0.4818284474094517,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
8158,0.8382384191085535,-0.9723379092716081,0.5759826244959356,-0.280522896598895,-0.12579484639335262,-0.6662817809861953,-1.0058516991026796,0.9466579047036832,1.1458278238606685,0.9319003580911953,1.3147091217510203,1.4543067198989672,1.4449218825567476,0.4990633655784165,-1.45988609539888,0.4948436788828508,-0.48116458471979834,0.47693122604458105,0.4903839162092966,2,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
9559,-0.5279638673627031,-0.9723379092716081,0.14115478087901998,0.021970426882425273,-0.6125878895596033,-0.0052879506427475865,0.005867974104602262,0.9466579047036832,0.8162538300930241,-0.0042946469795620106,0.9167877717361511,-1.436575972717586,-0.48821328709573447,-0.4737697057245398,0.4898783058016274,-1.45681744863776,-1.4487185455478664,0.47693122604458105,-1.4540408110282002,2,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
6115,-0.588177377883752,-0.9723379092716081,-1.4048997742033467,-1.2121754236949664,-1.5833307741023963,-1.657772526501367,1.0175876473118841,-0.6258635316811727,1.0287058058655136,0.6402672921178489,1.2211354667683854,1.4543067198989672,1.4449218825567476,1.4718964368813727,-0.48500389479862627,-0.48098688487745467,0.48638937610826977,-1.4677424785204796,1.462596279828045,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
6079,-0.4362231447736711,-0.04084592357288879,-1.6947850032812906,-0.5935462103193643,0.6968286837380795,-0.9967786961579193,0.005867974104602262,-0.6258635316811727,0.8212047144828661,-0.23688849320878783,0.8191492848869975,-0.47294840851206826,0.4783542977305066,0.4990633655784165,-0.48500389479862627,-0.48098688487745467,-1.4487185455478664,-0.4954056262379492,0.4903839162092966,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
3297,-0.5401590087340548,0.8906460621258305,-0.14873044819892378,-0.5692991816384853,-0.9869805399309663,-0.6662817809861953,-1.0058516991026796,-0.6258635316811727,-1.188932935660713,-1.8669750435678607,-1.193052987526438,1.4543067198989672,1.4449218825567476,0.4990633655784165,-0.48500389479862627,-0.48098688487745467,-0.48116458471979834,0.47693122604458105,0.4903839162092966,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1
5054,-0.6756220847624215,-0.5065919164222484,-0.5352440869695154,-0.8489615088716522,-1.0839360396093725,0.3252089645289763,0.005867974104602262,0.9466579047036832,0.8211347493455868,0.28733841899378426,0.9956855318104831,-0.47294840851206826,-0.48821328709573447,0.4990633655784165,-0.48500389479862627,-0.48098688487745467,0.48638937610826977,0.47693122604458105,-0.4818284474094517,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
3709,1.1285659324378918,-0.9723379092716081,0.2377831905716679,-0.8046676739324341,1.709960847297854,0.6557058797007002,-1.0058516991026796,-0.6258635316811727,-1.259772372422856,-0.4699643968097011,-1.1970437197370216,0.49067915569344955,0.4783542977305066,0.4990633655784165,1.4647605064018812,-0.48098688487745467,0.48638937610826977,0.47693122604458105,0.4903839162092966,2,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
7141,-0.6228919564465202,2.2878840406739096,-1.2599571596643748,-1.0626185677499331,-0.27324448077553376,-0.6662817809861953,1.0175876473118841,-0.6258635316811727,1.058120662337375,-1.109992202077757,1.1822229439212304,0.49067915569344955,1.4449218825567476,0.4990633655784165,-1.45988609539888,0.4948436788828508,-0.48116458471979834,0.47693122604458105,0.4903839162092966,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
3901,-0.5235292705003933,1.82213804782455,0.7692394438812314,0.17982417608967974,-0.7206591287489112,0.6557058797007002,-1.0058516991026796,-0.6258635316811727,-0.786648221351158,-1.0514676426193512,-0.7125476972997495,0.49067915569344955,0.4783542977305066,0.4990633655784165,0.4898783058016274,-1.45681744863776,1.453943336936338,1.4492680783271112,1.462596279828045,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
7253,-0.1541412099851898,-0.04084592357288879,-1.6464707984349665,1.3857305879867874,-0.6378547830438142,-0.0052879506427475865,-1.0058516991026796,0.9466579047036832,0.9335532191659296,0.28728252828402345,1.1131251922065541,0.49067915569344955,1.4449218825567476,0.4990633655784165,0.4898783058016274,-0.48098688487745467,-0.48116458471979834,0.47693122604458105,-0.4818284474094517,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6493,0.47979826959717703,-0.9723379092716081,-0.4869298821231915,-1.3427436854475896,0.7343908035883964,-1.657772526501367,1.0175876473118841,-0.6258635316811727,0.960574889752914,-0.5864499510697564,0.8138074699490143,0.49067915569344955,1.4449218825567476,-0.4737697057245398,-0.48500389479862627,0.4948436788828508,1.453943336936338,0.47693122604458105,-2.4262531746469485,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
591,-0.6701481292605079,-0.9723379092716081,-0.2936730627378957,-0.5133472825386305,-0.6072972683390475,-1.657772526501367,0.005867974104602262,0.9466579047036832,-0.8741409106080664,-0.8183616046107582,-0.8609000387353405,-0.47294840851206826,0.4783542977305066,-0.4737697057245398,-1.45988609539888,0.4948436788828508,2.421497297764406,-0.4954056262379492,0.4903839162092966,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
7245,-0.254612545146894,0.8906460621258305,-0.5352440869695154,0.17821203398119723,0.29670709018851543,0.6557058797007002,0.005867974104602262,0.9466579047036832,0.8399587749830475,-0.06241399879220118,0.7638760642363793,-0.47294840851206826,0.4783542977305066,-0.4737697057245398,0.4898783058016274,-0.48098688487745467,0.48638937610826977,1.4492680783271112,-1.4540408110282002,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1254,-0.6699402575325871,0.4249000692764709,-0.2453588578915717,-0.49436968183618124,-0.7743283741875925,-0.3357848658144715,-1.0058516991026796,0.9466579047036832,-0.8686427713946949,0.17053109726007573,-0.9698026764051026,0.49067915569344955,-0.48821328709573447,1.4718964368813727,-1.45988609539888,1.4706742426431563,0.48638937610826977,1.4492680783271112,-1.4540408110282002,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
7451,0.28460671707957647,0.4249000692764709,0.7692394438812314,-0.5036269096408068,1.4188560986386072,-0.3357848658144715,0.005867974104602262,0.9466579047036832,1.1566973806743914,0.7534739247385972,1.047727408611589,1.4543067198989672,0.4783542977305066,1.4718964368813727,-2.4347682959991337,1.4706742426431563,0.48638937610826977,0.47693122604458105,-0.4818284474094517,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
8870,0.49150837693671356,-0.9723379092716081,-0.8251293160474592,-0.621206540318797,-1.0984803558677496,0.986202794872424,1.0175876473118841,0.9466579047036832,0.1278793246716304,-0.7600511531463281,0.18417703513828698,0.49067915569344955,-0.48821328709573447,0.4990633655784165,-0.48500389479862627,0.4948436788828508,-0.48116458471979834,0.47693122604458105,-0.4818284474094517,2,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
5448,0.9212485291249133,-0.9723379092716081,0.28609739541799184,2.6809317994069226,0.2200975707442932,0.986202794872424,1.0175876473118841,0.9466579047036832,1.1819876977561667,1.3979007946207522,1.2182148324552506,0.49067915569344955,2.4114894673829887,0.4990633655784165,-0.48500389479862627,0.4948436788828508,0.48638937610826977,-0.4954056262379492,1.462596279828045,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
6838,-0.39686609762067243,0.8906460621258305,0.3827258051106398,-0.37855716601225364,0.7308960277211275,-0.3357848658144715,0.005867974104602262,-0.6258635316811727,1.172167239811699,0.05580416747044269,1.1235714189056134,-0.47294840851206826,-0.48821328709573447,-0.4737697057245398,-0.48500389479862627,1.4706742426431563,-0.48116458471979834,-0.4954056262379492,0.4903839162092966,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
1502,-0.6400067287119966,-0.5065919164222484,-1.066700340279079,-0.5046436301478503,-1.651480649221888,0.986202794872424,0.005867974104602262,-0.6258635316811727,-0.8625145768324385,1.688531693592494,-0.7621950772507871,-0.47294840851206826,0.4783542977305066,-0.4737697057245398,-1.45988609539888,0.4948436788828508,-1.4487185455478664,-0.4954056262379492,-0.4818284474094517,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
2620,-0.49415006628759156,-0.04084592357288879,1.397324106883443,-0.5560130170774871,0.17926917960264513,-0.9967786961579193,0.005867974104602262,-0.6258635316811727,-1.0155156823650235,-0.23593136480413204,-1.1294970012724865,0.49067915569344955,0.4783542977305066,1.4718964368813727,-0.48500389479862627,0.4948436788828508,-0.48116458471979834,-0.4954056262379492,-0.4818284474094517,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
9739,-0.4071903934407372,-0.5065919164222484,1.1557530826518232,0.24926544200045814,-0.49563588723373964,-0.0052879506427475865,0.005867974104602262,-0.6258635316811727,0.2820427772920003,0.6405886636989737,0.4308508983150212,0.49067915569344955,-0.48821328709573447,0.4990633655784165,1.4647605064018812,0.4948436788828508,1.453943336936338,0.47693122604458105,1.462596279828045,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
2914,-0.00897745332052059,-0.9723379092716081,-1.1633287499717269,-0.12027292120883865,-1.4723723123888983,0.3252089645289763,-1.0058516991026796,-0.6258635316811727,-1.116395577383282,-0.17838722154611558,-0.9934967604940595,0.49067915569344955,0.4783542977305066,-0.4737697057245398,0.4898783058016274,1.4706742426431563,-0.48116458471979834,1.4492680783271112,0.4903839162092966,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
9502,-0.6179723255523953,-0.04084592357288879,-1.018386135432755,-1.036806207950083,-0.1503637928125336,-0.0052879506427475865,0.005867974104602262,-0.6258635316811727,1.3020100543339885,1.9215315392525412,1.3795035524733166,-1.436575972717586,-0.48821328709573447,-0.4737697057245398,-0.48500389479862627,0.4948436788828508,0.48638937610826977,-0.4954056262379492,-0.4818284474094517,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
3897,-0.6577451161612354,-0.9723379092716081,0.43104000995696373,-0.7994088848152568,0.64424574838133,0.6557058797007002,-1.0058516991026796,-0.6258635316811727,-0.7523895082399951,-1.5756642806874692,-0.7949483625976406,-0.47294840851206826,0.4783542977305066,-0.4737697057245398,-0.48500389479862627,-0.48098688487745467,0.48638937610826977,-0.4954056262379492,0.4903839162092966,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
4621,0.03197327707987058,-0.5065919164222484,-1.2599571596643748,0.11850816314624672,0.17599282722708062,-0.9967786961579193,-1.0058516991026796,-0.6258635316811727,-1.2069685865675142,-1.1099083660131157,-1.4059374680034973,1.4543067198989672,1.4449218825567476,0.4990633655784165,-2.4347682959991337,0.4948436788828508,1.453943336936338,0.47693122604458105,-0.4818284474094517,2,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
